"recurso";"tipo";"cantidad";"traducible";"contexto";"espanol";"ingles";"aleman";"frances";"italiano";"portugues_portugal";"notas"
"onboarding_widget_setup_body";"string";"";"si";"Explicación de la confirmación nativa para fijar el widget";"Android te pedirá confirmación para añadirlo a tu pantalla de inicio.";"Android will ask for confirmation to add it to your home screen.";"Android bittet dich um Bestätigung, um es zum Startbildschirm hinzuzufügen.";"Android vous demandera de confirmer son ajout à l’écran d’accueil.";"Android ti chiederà di confermare l’aggiunta alla schermata Home.";"O Android irá pedir confirmação para o adicionar ao ecrã inicial.";"No afirmar que se abre necesariamente otra pantalla"
"onboarding_next";"string";"";"si";"Botón principal de la primera página";"Siguiente";"Next";"Weiter";"Suivant";"Avanti";"Seguinte";""
"onboarding_skip";"string";"";"si";"Acción que omite y completa el onboarding";"Omitir";"Skip";"Überspringen";"Ignorer";"Ignora";"Ignorar";""
"onboarding_start";"string";"";"si";"Acción alternativa cuando no se puede solicitar el widget";"Empezar";"Get started";"Loslegen";"Commencer";"Inizia";"Começar";""
"onboarding_add_widget";"string";"";"si";"Botón que solicita fijar el widget mediante Android";"Añadir widget";"Add widget";"Widget hinzufügen";"Ajouter le widget";"Aggiungi widget";"Adicionar widget";""
"onboarding_page_indicator";"string";"";"si";"Descripción accesible de la página actual";"Página %1$d de %2$d";"Page %1$d of %2$d";"Seite %1$d von %2$d";"Page %1$d sur %2$d";"Pagina %1$d di %2$d";"Página %1$d de %2$d";"Conservar exactamente los marcadores %1$d y %2$d"
"onboarding_example_reminder";"string";"";"si";"Recordatorio ficticio mostrado en la ilustración construida con Compose";"Comprar pan";"Buy bread";"Brot kaufen";"Acheter du pain";"Comprare il pane";"Comprar pão";"No guardar ni tratar como nota real"
"reminders_title";"string";"";"si";"Título de la sección que contiene las notas activas";"Recordatorios";"Reminders";"Erinnerungen";"Rappels";"Promemoria";"Lembretes";""
"empty_reminders_title";"string";"";"si";"Título mostrado cuando Room no contiene recordatorios";"Nada pendiente";"Nothing pending";"Nichts ausstehend";"Rien en attente";"Niente in sospeso";"Nada pendente";""
"empty_reminders_body";"string";"";"si";"Explicación del estado vacío";"Cuando guardes un recado, aparecerá aquí y en tus notificaciones.";"When you save a note, it will appear here and in your notifications.";"Wenn du eine Notiz speicherst, erscheint sie hier und in deinen Benachrichtigungen.";"Lorsque vous enregistrerez un rappel, il apparaîtra ici et dans vos notifications.";"Quando salvi un promemoria, apparirà qui e nelle notifiche.";"Quando guardares um lembrete, este aparecerá aqui e nas tuas notificações.";""
"widget_tap_to_speak";"string";"";"si";"Texto del widget en reposo y de la acción de voz del estado vacío";"Toca para hablar";"Tap to speak";"Zum Sprechen tippen";"Touchez pour parler";"Tocca per parlare";"Toca para falar";"La tarjeta del estado vacío reutiliza el callback del micrófono"
"widget_recording";"string";"";"si";"Estado visible del widget mientras escucha";"Grabando…";"Recording…";"Aufnahme läuft…";"Enregistrement…";"Registrazione…";"A gravar…";"El rojo de grabación no cambia con la paleta"
"widget_recording_description";"string";"";"si";"Descripción accesible del widget mientras puede cancelarse";"Grabando. Toca para detener.";"Recording. Tap to stop.";"Aufnahme läuft. Zum Stoppen tippen.";"Enregistrement en cours. Touchez pour arrêter.";"Registrazione in corso. Tocca per interrompere.";"A gravar. Toca para parar.";""
"appearance_title";"string";"";"si";"Título del selector de paletas";"Apariencia";"Appearance";"Darstellung";"Apparence";"Aspetto";"Aspeto";""
"appearance_subtitle";"string";"";"si";"Instrucción breve del selector de paletas";"Elige tu paleta preferida";"Choose your preferred palette";"Wähle deine bevorzugte Farbpalette";"Choisissez votre palette préférée";"Scegli la palette che preferisci";"Escolhe a tua paleta preferida";""
"appearance_open";"string";"";"si";"Descripción accesible de la acción de cabecera que abre el selector";"Cambiar apariencia";"Change appearance";"Darstellung ändern";"Modifier l’apparence";"Cambia aspetto";"Alterar o aspeto";""
"appearance_applies_immediately";"string";"";"si";"Nota informativa bajo las seis paletas";"La paleta se aplica al instante en toda la app y el widget.";"The palette is applied instantly across the app and widget.";"Die Farbpalette wird sofort in der gesamten App und im Widget angewendet.";"La palette s’applique immédiatement dans toute l’application et au widget.";"La palette viene applicata subito all’intera app e al widget.";"A paleta é aplicada de imediato em toda a aplicação e no widget.";""
"palette_lavender";"string";"";"si";"Nombre de la paleta lavanda";"Lavanda";"Lavender";"Lavendel";"Lavande";"Lavanda";"Lavanda";""
"palette_petrol";"string";"";"si";"Nombre de la paleta verde petróleo";"Verde petróleo";"Petrol green";"Petrolgrün";"Vert pétrole";"Verde petrolio";"Verde-petróleo";""
"palette_deep_blue";"string";"";"si";"Nombre de la paleta azul profundo";"Azul profundo";"Deep blue";"Tiefblau";"Bleu profond";"Blu profondo";"Azul profundo";""
"palette_soft_coral";"string";"";"si";"Nombre de la paleta coral suave";"Coral suave";"Soft coral";"Sanftes Korallenrot";"Corail doux";"Corallo tenue";"Coral suave";""
"palette_grayscale";"string";"";"si";"Nombre de la paleta de grises";"Escala de grises";"Grayscale";"Graustufen";"Niveaux de gris";"Scala di grigi";"Escala de cinzentos";""
"palette_turquoise";"string";"";"si";"Nombre de la paleta turquesa";"Turquesa";"Turquoise";"Türkis";"Turquoise";"Turchese";"Turquesa";""
"voice_processing";"string";"";"si";"Estado existente de voz actualizado según el boceto";"Procesando tu voz…";"Processing your voice…";"Sprache wird verarbeitet…";"Traitement de votre voix…";"Elaborazione della voce…";"A processar a tua voz…";"Sustituye el texto anterior de transcripción sin crear un estado nuevo"
"voice_saving";"string";"";"si";"Estado existente después de confirmar la revisión";"Guardando tu recordatorio…";"Saving your reminder…";"Erinnerung wird gespeichert…";"Enregistrement de votre rappel…";"Salvataggio del promemoria…";"A guardar o teu lembrete…";"Sustituye el texto breve anterior"
"voice_saving_support";"string";"";"si";"Texto secundario estable durante el guardado";"En un momento lo verás.";"It will appear in a moment.";"Gleich wird sie angezeigt.";"Il apparaîtra dans un instant.";"Lo vedrai tra un attimo.";"Irá aparecer dentro de momentos.";""
